VocabularyId;Ordinal;English;Persian
1;1;The world has placed a premium on the knowledge and skill one can obtain from higher education. ;دنیا دانش و مهارت هایی که یک فرد از طریق تحصیلات تکمیلی می آموزد بالاتر و مهمتر از چیزهای دیگر دانسته است.
1;2;Modern economies place a premium on educated workers.;اقتصاد امروز کارکنان تحصیلکرده را بالاتر از چیزهای دیگر می داند. 
2;1;Students are required to possess a collection of skills, ranging from those learn in their field to those in other relevant subjects. ;دانش آموزان لازم است مجموعه ای از مهارت ها را بیاموزند، از مهارت هایی که در رشته شان است تا آنهایی که به موضوعات دیگر مربوط می شوند. 
2;2;The show had a massive audience, ranging from children to grandparents.;نمایش تماشگران زیادی داشت، از بچه ها گرفته تا پدربزرگ ها و مادربزرگها.
3;1;Students who dabble in different specialized areas are hired in higher positions.;دانش آموزانی که به صورت سرسری رشته های مختلف را یاد می گیرند، در پست های بالاتری استخدام می شوند. 
3;2;People who dabble in painting as a way of relaxing...;افرادی که برای سرگرمی و استراحت به نقاشی روی می آورند... 
4;1;Today, students are required to take in essential information within a time frame. ;امروزه دانش آموزان لازم است تا اطلاعات ضروری را در یک زمان محدود بیاموزند.
4;2;The course was very difficult, but I tried to take in as much as possible.;درس بسیار سخت بود اما من سعی کردم تا حد امکان یاد بگیرم. 
5;1;Not only does it make students versatile, but it also helps them to match the needs of a fast-changing and competitive society. ;نه تنها این دانشجویان را درزمینه های مختلف ماهر می کند، بلکه به آنها کمک می کند تا خود را با نیازهای جامعه به سرعت درحال تغییر و رقابتی تطابق دهند.
5;2;a very versatile workforce;یک نیروی کار بسیار ماهر
6;1;Current employers show a tendency to recruit youngsters who can do a various array of jobs.;کارفرمایان امروزه تمایل دارند جوانانی را استخدام کنند که می توانند شغل های گوناگون بسیاری را انجام دهند. 
7;1;To keep abreast of the 21st century, large numbers of people are seeking to receive tertiary education.;برای همگام شدن با قرن 21، تعداد زیادی از افراد به دنبال ادامه تحصیلات دانشگاهی هستند. 
7;2;It's important to keep abreast of the latest developments in computers.;همگام شدن با آخرین اطلاعات در ارتباط با کامپیوتر اهمیت زیادی دارد. 
8;1;Distance learning, a state-of-the-art educational model, has received wide currency among qualification seekers. ;آموزش راه دور، به عنوان یک مدل آموزش مدرن، رواج زیادی بین جستجوگران مدارک تحصیلی پیدا کرده است. 
