Id;OperatorId;Title;Period;Price;PrimaryTraffic;SecondaryTraffic;SecondaryTrafficStartTime;SecondaryTrafficEndTime;UssdCode;Custom
44;2;۲۰ مگابایت ویژه مشترکین اعتباری;1;500;20971520;0;;;*555*5*1*1#;0
45;2;۵۰ مگابایت ویژه مشترکین اعتباری;1;900;52428800;0;;;*555*5*1*9#;0
46;2;۱ گیگابایت (۲ تا ۸ صبح) ویژه مشترکین اعتباری;1;10000;0;1073741824;02:00:00;08:00:00;*555*5*1*7#;0
47;2;۲۰۰ مگابایت (۵۰ مگابایت + ۱۵۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;1;1200;52428800;157286400;02:00;14:00;*555*5*1*6#;0
48;2;۲۵۰ مگابایت(۱۵۰ مگابایت + ۱۰۰ مگابایت (۲ بامداد تا ۲ ظهر));1;1500;157286400;104857600;02:00;14:00;*555*5*1*10#;0
49;2;۳۰۰ مگابایت (۱۵۰ مگابایت + ۱۵۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباریویژه اعتباری;1;2000;157286400;157286400;02:00;14:00;*555*5*1*2#;0
50;2;۶۰۰ مگابایت (۲۰۰ مگابایت + ۴۰۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;1;3000;209715200;419430400;02:00;14:00;*555*5*1*5#;0
51;2;۴۰ مگابایت;7;1500;41943040;0;;;*555*5*2*8#;0
52;2;۶۰ مگابایت;7;2000;62914560;0;;;*555*5*2*10#;0
53;2;۲۰۰ مگابایت (۱۰۰ مگابایت + ۱۰۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;7;2500;104857600;104857600;02:00;14:00;*555*5*2*2#;0
54;2;۴۰۰ مگابایت (۲۰۰ مگابایت + ۲۰۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;7;4000;209715200;209715200;02:00;14:00;*555*5*2*3#;0
56;2;۹۰۰ مگابایت (۴۰۰ مگابایت + ۵۰۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;7;5000;419430400;524288000;02:00:00;14:00:00;*555*5*2*1#;0
57;2;۲۰۰ مگابایت;30;5000;209715200;0;;;*555*5*3*1#;0
58;2;۳ گیگابایت ویژه مشترکین اعتباری;30;13000;3221225472;0;;;*555*5*3*5#;0
59;2;۵ گیگابایت;30;20000;5368709120;0;;;*555*5*8*2#;0
60;2;۱۰ گیگابایت;30;32500;10737418240;0;;;*555*5*8*3#;0
61;2;۷۰۰ مگابایت (۴۰۰ مگابایت + ۳۰۰ مگابایت (۲ بامداد تا ۲ ظهر)) ویژه مشترکین اعتباری;30;8000;419430400;314572800;02:00;14:00;*555*5*3*11#;0
62;2;۲/۵ گیگابایت (۱.۵ گیگابایت + ۱ گیگابایت ۱۲ شب تا ۱۲ ظهر) ویژه مشترکین اعتباری;30;10000;1610612736;1073741824;00:00;12:00;*555*5*3*2#;0
63;2;۶ گیگابایت;90;25000;6442450944;0;;;*555*5*8*5#;0
64;2;۱۲ گیگابایت;90;37500;12884901888;0;;;*555*5*8*7#;0
65;2;۹گیگابایت ویژه مشترکین اعتباری;180;35000;9663676416;0;;;*555*5*4*12#;0
66;2;۳۰گیگابایت ویژه مشترکین اعتباری;180;60000;9663676416;0;;;*555*5*4*1#;0
67;2;۱۲ گیگابایت ویژه مشترکین اعتباری;360;42000;9663676416;0;;;*555*5*4*13#;0
68;2;۱۰۰ گیگابایت;360;175000;107374182400;0;;;*555*5*8*13#;0
69;3;اینترنت پایه 200 مگابایت 7 روزه;7;3000;209715200;0;;;*142*1*1*1*1#;0
70;3;اینترنت پایه 1.5 گیگابایت 30 روزه;30;12500;1610612736;0;;;*142*1*1*1*2#;0
71;3;اینترنت پایه 3 گیگابایت 30 روزه;30;19900;3221225472;0;;;*142*1*1*1*3#;0
72;3;اینترنت پایه 4.5 گیگابایت 90 روزه;90;32250;4831838208;0;;;*142*1*1*1*4#;0
73;3;اینترنت پایه 9 گیگابایت 90 روزه;90;56118;9663676416;0;;;*142*1*1*1*5#;0
74;3;اینترنت پایه 9 گیگابایت 180 روزه;180;67500;9663676416;0;;;*142*1*1*1*6#;0
75;3;اینترنت پایه 18 گیگابایت 180 روزه;180;107460;19327352832;0;;;*142*1*1*1*7#;0
76;3;اینترنت حرفه ای 350 مگابایت 10 روزه;10;6000;367001600;0;;;*142*1*1*3*1#;0
